======================================================================
Champions VGC 2026 Reg M-A — Usage Statistics (Smogon)
======================================================================
Format:        gen9championsvgc2026regma
Month/cutoff:  1500
Battles:       3,122,222
Species seen:  263
Fetched at:    2026-05-04T15:00:24+00:00

----------------------------------------------------------------------
TOP 20 BY USAGE
----------------------------------------------------------------------
 1. Sneasler               usage=40.03%  item=White Herb         ability=Unburden       top-move=Close Combat
 2. Incineroar             usage=38.53%  item=Sitrus Berry       ability=Intimidate     top-move=Fake Out
 3. Garchomp               usage=32.11%  item=Choice Scarf       ability=Rough Skin     top-move=Earthquake
 4. Sinistcha              usage=29.35%  item=Sitrus Berry       ability=Hospitality    top-move=Matcha Gotcha
 5. Kingambit              usage=26.82%  item=Black Glasses      ability=Defiant        top-move=Sucker Punch
 6. Basculegion            usage=25.42%  item=Choice Scarf       ability=Adaptability   top-move=Last Respects
 7. Pelipper               usage=16.02%  item=Focus Sash         ability=Drizzle        top-move=Hurricane
 8. Aerodactyl             usage=15.92%  item=Focus Sash         ability=Unnerve        top-move=Rock Slide
 9. Farigiraf              usage=15.27%  item=Sitrus Berry       ability=Armor Tail     top-move=Trick Room
10. Rotom-Wash             usage=14.76%  item=Choice Scarf       ability=Levitate       top-move=Hydro Pump
11. Milotic                usage=13.84%  item=Leftovers          ability=Competitive    top-move=Scald
12. Floette-Mega           usage=13.67%  item=Floettite          ability=Fairy Aura     top-move=Protect
13. Archaludon             usage=13.66%  item=Leftovers          ability=Stamina        top-move=Electro Shot
14. Whimsicott             usage=12.71%  item=Focus Sash         ability=Prankster      top-move=Tailwind
15. Charizard-Mega-Y       usage=12.02%  item=Charizardite Y     ability=Drought        top-move=Heat Wave
16. Froslass-Mega          usage= 8.02%  item=Froslassite        ability=Snow Warning   top-move=Blizzard
17. Tyranitar-Mega         usage= 7.96%  item=Tyranitarite       ability=Sand Stream    top-move=Rock Slide
18. Aegislash              usage= 7.92%  item=Spell Tag          ability=Stance Change  top-move=King's Shield
19. Meganium-Mega          usage= 7.43%  item=Meganiumite        ability=Mega Sol       top-move=Solar Beam
20. Gengar-Mega            usage= 7.41%  item=Gengarite          ability=Shadow Tag     top-move=Protect
